Row,Tip B,Root B,Span B,Sweep B,Body Length B,Body Diameter B+S,Tip S,Root S,Span S,Sweep S,Body Length S,Mach Number,S Power Off,S Power On,B+S Power Off,B+S Power On,CP S,CP B+S
2,9.805650471,8.141678473,7.941745145,17.81981832,160.327944,17.08225685,12.59254938,14.50520877,10.85182099,12.69272439,188.9990833,0.1,0.888380304931096,0.863274722827052,1.12758181456663,1.10247623246259,337.37517647359992558570747562,372.80510736828933533535623016
2,9.805650471,8.141678473,7.941745145,17.81981832,160.327944,17.08225685,12.59254938,14.50520877,10.85182099,12.69272439,188.9990833,0.2,0.852922552383273,0.82781697027923,1.09806069176118,1.07295510965714,337.37517647359992558570747562,372.80510736828933533535623016
2,9.805650471,8.141678473,7.941745145,17.81981832,160.327944,17.08225685,12.59254938,14.50520877,10.85182099,12.69272439,188.9990833,0.3,0.824437450572529,0.799331868468486,1.06636734135509,1.04126175925105,337.37517647359992558570747562,372.80510736828933533535623016
2,9.805650471,8.141678473,7.941745145,17.81981832,160.327944,17.08225685,12.59254938,14.50520877,10.85182099,12.69272439,188.9990833,0.4,0.804669526929852,0.77956394482581,1.04395612064059,1.01885053853655,337.37517647359992558570747562,372.80510736828933533535623016
2,9.805650471,8.141678473,7.941745145,17.81981832,160.327944,17.08225685,12.59254938,14.50520877,10.85182099,12.69272439,188.9990833,0.5,0.78956139953318,0.764455817429137,1.026585228225,1.00147964612096,337.37517647359992558570747562,372.80510736828933533535623016
2,9.805650471,8.141678473,7.941745145,17.81981832,160.327944,17.08225685,12.59254938,14.50520877,10.85182099,12.69272439,188.9990833,0.6,0.77764627764598,0.751518991539286,1.0128789755117,0.986751689405008,337.37517647359992558570747562,372.80510736828933533535623016
2,9.805650471,8.141678473,7.941745145,17.81981832,160.327944,17.08225685,12.59254938,14.50520877,10.85182099,12.69272439,188.9990833,0.7,0.77410109494048,0.74286528882053,1.01204441042616,0.980808604306214,337.37517647359992558570747562,372.80510736828933533535623016
2,9.805650471,8.141678473,7.941745145,17.81981832,160.327944,17.08225685,12.59254938,14.50520877,10.85182099,12.69272439,188.9990833,0.8,0.772099004240836,0.73575467810763,1.01300087874979,0.976656552616584,337.37517647359992558570747562,372.80510736828933533535623016
2,9.805650471,8.141678473,7.941745145,17.81981832,160.327944,17.08225685,12.59254938,14.50520877,10.85182099,12.69272439,188.9990833,0.9,0.771282464244509,0.729829618098047,1.01535048452895,0.973897638382489,337.37517647359992558570747562,372.80510736828933533535623016
2,9.805650471,8.141678473,7.941745145,17.81981832,160.327944,17.08225685,12.59254938,14.50520877,10.85182099,12.69272439,188.9990833,1.0,0.937056036318848,0.876434384813751,1.16703994483636,1.10641829333126,341.840799806812,374.187582960103
2,9.805650471,8.141678473,7.941745145,17.81981832,160.327944,17.08225685,12.59254938,14.50520877,10.85182099,12.69272439,188.9990833,1.1,1.03521800573373,0.964521543285418,1.24757977794193,1.17688331549362,344.28593367144230264742190174,374.94185337948524805863596508
