Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,1.3116203233142674437067895147,1.31162032331427,1.28651474121022,1.31162032331427,1.28651474121022,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,2147958
0.02,0,1.1625867071973590824209766257,1.16258670719736,1.13748112509332,1.16258670719736,1.13748112509332,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,4295916
0.03,0,1.0775707829367970955491903547,1.0775707829368,1.05246520083275,1.0775707829368,1.05246520083275,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,6443874
0.04,0,1.0202632943829614815853101283,1.02026329438296,0.995157712278918,1.02026329438296,0.995157712278918,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,8591831
0.05,0,0.9778985743885765145148016111,0.977898574388576,0.952792992284534,0.977898574388576,0.952792992284534,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,10739790
0.06,0,0.9583291985468412029100487775,0.958329198546841,0.933223616442798,0.958329198546841,0.933223616442798,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,12887750
0.07,0,0.9637150468954445902249396044,0.963715046895445,0.938609464791402,0.963715046895445,0.938609464791402,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,15035700
0.08,0,0.9669217038293246015310875399,0.966921703829325,0.941816121725282,0.966921703829325,0.941816121725282,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,17183660
0.09,0,0.9748041377978961984520104046,0.974804137797896,0.949698555693853,0.974804137797896,0.949698555693853,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,19331620
0.10,0,0.9794274873143240137248053057,0.979427487314324,0.954321905210281,0.979427487314324,0.954321905210281,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,21479580
0.11,0,0.9818656243705792287557440043,0.981865624370579,0.956760042266536,0.981865624370579,0.956760042266536,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,23627540
0.12,0,0.9828003870194277538777915195,0.982800387019428,0.957694804915385,0.982800387019428,0.957694804915385,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,25775490
0.13,0,0.9826806461533295139253963047,0.98268064615333,0.957575064049286,0.98268064615333,0.957575064049286,0,0,0,0,48.36738114290343,314.91332668249942887859442859,314.91332668249942887859442859,27923450
